date,latitude,longitude,water_temperature_celsius,temperature_drop_celsius,skin_ice_temperature_celsius,barometric_pressure_mb,rainfall_mm,month,fishing_opportunity,disaster_risk
2022-01-01 00:00:00,46.8543,-85.786,14.35,1.6,14.03,1018.31,5.54,1,1,0
2022-01-01 06:00:00,72.7821,-91.0876,22.06,5.04,19.48,1020.07,0.14,1,0,0
2022-01-01 12:00:00,62.9397,146.2516,20.79,6.6,19.86,1014.09,3.14,1,1,0
2022-01-01 18:00:00,56.9396,-90.1634,9.99,8.13,7.08,1017.84,0.3,1,1,0
2022-01-02 00:00:00,37.0208,-82.0981,6.4,3.22,6.05,1009.41,1.03,1,1,0
2022-01-02 06:00:00,37.0198,93.3834,10.43,8.64,7.56,1016.98,4.11,1,1,0
2022-01-02 12:00:00,32.6138,-18.0937,9.49,6.8,9.22,1016.27,10.06,1,1,0
2022-01-02 18:00:00,68.9779,99.6158,14.57,8.1,13.88,1014.45,10.72,1,1,0
2022-01-03 00:00:00,57.0502,-156.4682,19.63,4.42,19.49,1019.58,0.36,1,1,0
2022-01-03 06:00:00,61.8633,-4.4744,7.13,6.12,5.01,1010.31,2.72,1,1,0
2022-01-03 12:00:00,30.9263,-167.8991,5.7,9.28,3.15,1012.06,4.37,1,0,0
2022-01-03 18:00:00,73.6459,-157.4448,13.67,8.33,12.37,1013.48,0.8,1,1,0
2022-01-04 00:00:00,67.4599,146.3175,22.15,3.87,19.37,1007.85,7.25,1,1,0
2022-01-04 06:00:00,39.5553,-129.8717,8.3,3.87,6.53,1014.13,6.82,1,1,0
2022-01-04 12:00:00,38.1821,11.6714,18.11,3.83,16.22,1004.41,11.68,1,1,0
2022-01-04 18:00:00,38.2532,-32.0056,8.02,4.8,5.49,1018.23,0.04,1,1,0
2022-01-05 00:00:00,43.6909,-54.9564,20.99,2.7,20.09,1013.23,1.22,1,1,0
2022-01-05 06:00:00,53.614,143.94,23.11,2.34,22.05,1010.4,8.78,1,1,0
2022-01-05 12:00:00,49.4375,-172.1436,13.15,8.07,10.44,1008.83,5.55,1,1,0
2022-01-05 18:00:00,43.1053,58.9643,9.09,2.15,6.38,1011.83,11.24,1,1,0
2022-01-06 00:00:00,57.5334,166.822,12.75,6.65,9.82,1016.44,0.29,1,1,0
2022-01-06 06:00:00,36.2772,21.6605,9.0,2.98,6.29,1015.74,4.54,1,1,0
2022-01-06 12:00:00,43.1465,157.2561,17.38,3.52,17.0,1009.47,4.21,1,1,0
2022-01-06 18:00:00,46.4863,-161.1872,22.11,0.78,19.64,1008.77,0.18,1,0,0
2022-01-07 00:00:00,50.5231,-29.2344,15.47,3.11,14.24,1016.28,3.6,1,1,0
2022-01-07 06:00:00,65.3329,-86.3432,24.05,6.24,21.08,1009.39,4.7,1,1,0
2022-01-07 12:00:00,38.9853,83.0955,11.61,8.42,10.19,1013.3,1.06,1,0,0
2022-01-07 18:00:00,53.1405,173.267,9.57,3.32,7.91,1013.62,1.6,1,1,0
2022-01-08 00:00:00,56.6587,-87.6492,17.22,4.49,15.63,1014.56,5.11,1,1,0
2022-01-08 06:00:00,32.0903,55.5029,13.55,4.91,12.58,1017.29,3.16,1,1,0
2022-01-08 12:00:00,57.3395,-108.6849,19.77,7.51,19.54,1006.69,9.76,1,1,0
2022-01-08 18:00:00,37.6736,23.5189,11.18,7.48,8.49,1003.44,2.1,1,1,0
2022-01-09 00:00:00,32.9273,-12.9843,4.64,6.14,2.23,1010.16,1.55,1,1,0
2022-01-09 06:00:00,72.6998,169.9219,25.35,5.33,24.93,1022.01,20.95,1,1,0
2022-01-09 12:00:00,73.4534,39.0698,5.76,8.7,3.43,1023.11,12.1,1,0,0
2022-01-09 18:00:00,66.3779,-54.1777,24.26,0.15,22.39,1022.16,0.15,1,0,0
2022-01-10 00:00:00,43.7076,-138.9255,26.6,3.06,25.0,1012.04,7.36,1,1,0
2022-01-10 06:00:00,34.3952,-125.5511,22.47,7.51,21.71,1004.09,0.58,1,1,0
2022-01-10 12:00:00,60.7905,-98.8859,18.22,6.6,15.64,1001.28,0.14,1,1,0
2022-01-10 18:00:00,49.8069,-89.652,14.61,5.38,12.51,1009.93,1.6,1,1,0
2022-01-11 00:00:00,35.4917,126.2218,23.61,4.38,21.97,1012.01,1.57,1,1,0
2022-01-11 06:00:00,52.283,22.0402,10.83,4.2,9.0,1019.5,8.56,1,1,0
2022-01-11 12:00:00,31.5475,8.4207,9.71,5.69,9.44,1017.34,6.2,1,1,0
2022-01-11 18:00:00,70.9194,-138.6832,18.95,5.85,17.53,1014.14,19.98,1,1,0
2022-01-12 00:00:00,41.6451,129.6503,13.18,4.53,12.59,1008.55,6.22,1,1,0
2022-01-12 06:00:00,59.8135,80.2131,15.95,6.62,15.33,1008.2,2.71,1,1,0
2022-01-12 12:00:00,44.027,-155.6394,9.42,8.45,7.43,1014.27,6.0,1,1,0
2022-01-12 18:00:00,53.4031,74.8206,9.93,2.74,7.2,1016.49,37.61,1,1,0
2022-01-13 00:00:00,54.602,15.6738,22.57,3.86,21.36,1014.96,6.19,1,1,0
2022-01-13 06:00:00,38.3185,-150.5789,9.61,4.8,8.99,1007.83,7.17,1,1,0
2022-01-13 12:00:00,73.6313,-15.0118,20.31,5.97,18.36,1016.25,13.93,1,1,0
2022-01-13 18:00:00,64.881,-5.5093,16.82,2.82,14.21,1015.13,0.6,1,1,0
2022-01-14 00:00:00,72.2775,-120.3212,26.98,4.92,24.73,1007.65,6.1,1,1,0
2022-01-14 06:00:00,70.2672,160.4513,15.51,7.97,12.91,1009.08,9.51,1,1,0
2022-01-14 12:00:00,56.9055,125.9911,22.05,3.64,20.44,1016.44,15.44,1,1,0
2022-01-14 18:00:00,71.4843,60.848,4.02,9.39,1.77,1011.83,1.18,1,0,0
2022-01-15 00:00:00,33.9822,-13.5736,17.19,8.73,16.77,1020.95,3.51,1,1,0
2022-01-15 06:00:00,38.8192,-31.7644,5.46,2.8,4.42,1015.51,5.71,1,1,0
2022-01-15 12:00:00,32.0352,54.3504,22.27,2.14,21.1,1010.57,1.42,1,1,0
2022-01-15 18:00:00,44.6399,16.3555,24.04,7.7,22.51,1012.95,4.59,1,1,0
2022-01-16 00:00:00,47.4905,-157.5817,10.65,9.1,7.86,1013.32,1.49,1,1,0
